Date,Value
2011-09-13,389.0
2011-09-14,391.0
2011-09-15,393.0
2011-09-16,395.0
2011-09-17,397.0
2011-09-18,399.0
2011-09-19,401.0
2011-09-20,404.0
2011-09-21,407.0
2011-09-22,409.0
2011-09-23,411.0
2011-09-24,413.0
2011-09-25,415.0
2011-09-26,417.0
2011-09-27,419.0
2011-09-28,421.0
2011-09-29,423.0
2011-09-30,425.0
2011-10-01,427.0
2011-10-02,428.0
2011-10-03,430.0
2011-10-04,432.0
2011-10-05,434.0
2011-10-06,436.0
2011-10-07,438.0
2011-10-08,440.0
2011-10-09,442.0
2011-10-10,444.0
2011-10-11,446.0
2011-10-12,448.0
2011-10-13,449.0
2011-10-14,451.0
2011-10-15,453.0
2011-10-16,454.0
2011-10-17,456.0
2011-10-18,458.0
2011-10-19,459.0
2011-10-20,460.0
2011-10-21,461.0
2011-10-22,462.0
2011-10-23,464.0
2011-10-24,466.0
2011-10-25,468.0
2011-10-26,470.0
2011-10-27,471.0
2011-10-28,473.0
2011-10-29,475.0
2011-10-30,476.0
2011-10-31,477.0
2011-11-01,479.0
2011-11-02,481.0
2011-11-03,483.0
2011-11-04,485.0
2011-11-05,487.0
2011-11-06,488.0
2011-11-07,490.0
2011-11-08,492.0
2011-11-09,494.0
2011-11-10,496.0
2011-11-11,498.0
2011-11-12,500.0
2011-11-13,501.0
2011-11-14,503.0
2011-11-15,505.0
2011-11-16,507.0
2011-11-17,509.0
2011-11-18,510.0
2011-11-19,512.0
2011-11-20,514.0
2011-11-21,515.0
2011-11-22,517.0
2011-11-23,519.0
2011-11-24,521.0
2011-11-25,523.0
2011-11-26,525.0
2011-11-27,526.0
2011-11-28,528.0
2011-11-29,530.0
2011-11-30,532.0
2011-12-01,535.0
2011-12-02,537.0
2011-12-03,539.0
2011-12-04,541.0
2011-12-05,543.0
2011-12-06,545.0
2011-12-07,548.0
2011-12-08,550.0
2011-12-09,552.0
2011-12-10,554.0
2011-12-11,556.0
2011-12-12,558.0
2011-12-13,560.0
2011-12-14,562.0
2011-12-15,564.0
2011-12-16,566.0
2011-12-17,567.0
2011-12-18,568.0
2011-12-19,570.0
2011-12-20,573.0
2011-12-21,575.0
2011-12-22,577.0
2011-12-23,579.0
2011-12-24,580.0
2011-12-25,582.0
2011-12-26,584.0
2011-12-27,586.0
2011-12-28,588.0
2011-12-29,590.0
2011-12-30,592.0
2011-12-31,594.0
2012-01-01,596.0
2012-01-02,598.0
2012-01-03,600.0
2012-01-04,602.0
2012-01-05,605.0
2012-01-06,608.0
2012-01-07,611.0
2012-01-08,614.0
2012-01-09,617.0
2012-01-10,620.0
2012-01-11,624.0
2012-01-12,627.0
2012-01-13,629.0
2012-01-14,631.0
2012-01-15,633.0
2012-01-16,636.0
2012-01-17,638.0
2012-01-18,641.0
2012-01-19,643.0
2012-01-20,645.0
2012-01-21,647.0
2012-01-22,649.0
2012-01-23,651.0
2012-01-24,653.0
2012-01-25,656.0
2012-01-26,658.0
2012-01-27,660.0
2012-01-28,662.0
2012-01-29,665.0
2012-01-30,667.0
2012-01-31,669.0
2012-02-01,672.0
2012-02-02,675.0
2012-02-03,678.0
2012-02-04,681.0
2012-02-05,683.0
2012-02-06,685.0
2012-02-07,687.0
2012-02-08,689.0
2012-02-09,692.0
2012-02-10,695.0
2012-02-11,698.0
2012-02-12,701.0
2012-02-13,704.0
2012-02-14,708.0
2012-02-15,711.0
2012-02-16,715.0
2012-02-17,718.0
2012-02-18,720.0
2012-02-19,722.0
2012-02-20,724.0
2012-02-21,726.0
2012-02-22,729.0
2012-02-23,732.0
2012-02-24,735.0
2012-02-25,738.0
2012-02-26,740.0
2012-02-27,742.0
2012-02-28,744.0
2012-02-29,746.0
2012-03-01,749.0
2012-03-02,752.0
2012-03-03,754.0
2012-03-04,756.0
2012-03-05,759.0
2012-03-06,762.0
2012-03-07,764.0
2012-03-08,766.0
2012-03-09,768.0
2012-03-10,771.0
2012-03-11,773.0
2012-03-12,775.0
2012-03-13,778.0
2012-03-14,781.0
2012-03-15,784.0
2012-03-16,786.0
2012-03-17,789.0
2012-03-18,791.0
2012-03-19,793.0
2012-03-20,795.0
2012-03-21,797.0
2012-03-22,799.0
2012-03-23,801.0
2012-03-24,803.0
2012-03-25,805.0
2012-03-26,807.0
2012-03-27,809.0
2012-03-28,812.0
2012-03-29,815.0
2012-03-30,818.0
2012-03-31,820.0
2012-04-01,822.0
2012-04-02,824.0
2012-04-03,827.0
2012-04-04,830.0
2012-04-05,833.0
