Date,Value
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-17,0.0
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,0.0
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-08,0.0
2011-10-09,0.0
2011-10-10,0.0
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,0.0
2011-10-17,0.0
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,0.0
2011-10-22,0.0
2011-10-23,0.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,0.0
2011-10-27,0.0
2011-10-28,0.0
2011-10-29,0.0
2011-10-30,0.0
2011-10-31,0.0
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-05,0.0
2011-11-06,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,0.0
2011-11-10,0.0
2011-11-11,0.0
2011-11-12,0.0
2011-11-13,0.0
2011-11-14,0.0
2011-11-15,0.0
2011-11-16,0.0
2011-11-17,0.0
2011-11-18,0.0
2011-11-19,0.0
2011-11-20,0.0
2011-11-21,0.0
2011-11-22,0.0
2011-11-23,0.0
2011-11-24,0.0
2011-11-25,0.0
2011-11-26,0.0
2011-11-27,0.0
2011-11-28,0.0
2011-11-29,0.0
2011-11-30,0.0
2011-12-01,0.0
2011-12-02,0.0
2011-12-03,0.0
2011-12-04,0.0
2011-12-05,0.0
2011-12-06,0.0
2011-12-07,0.0
2011-12-08,0.0
2011-12-09,0.0
2011-12-10,0.0
2011-12-11,0.0
2011-12-12,0.0
2011-12-13,0.0
2011-12-14,0.0
2011-12-15,0.0
2011-12-16,0.0
2011-12-17,0.0
2011-12-18,0.0
2011-12-19,0.0
2011-12-20,0.0
2011-12-21,0.0
2011-12-22,0.0
2011-12-23,0.0
2011-12-24,0.0
2011-12-25,0.0
2011-12-26,0.0
2011-12-27,0.0
2011-12-28,0.0
2011-12-29,0.0
2011-12-30,0.0
2011-12-31,0.0
2012-01-01,0.0
2012-01-02,0.0
2012-01-03,0.0
2012-01-04,0.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,0.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,0.0
2012-01-26,0.0
2012-01-27,0.0
2012-01-28,0.0
2012-01-29,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,0.0
2012-02-07,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,587.0924381
2012-02-14,1210.67476394
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,0.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,650.1435
2012-02-25,255.6405434
2012-02-26,329.64851656
2012-02-27,1087.36162987
2012-02-28,261.98747992
2012-02-29,662.0576009
2012-03-01,255.84679061
2012-03-02,847.63153459
2012-03-03,1526.35133801
2012-03-04,58.64699049
2012-03-05,356.72453949
2012-03-06,1692.47527628
2012-03-07,1951.59776588
2012-03-08,1114.47105296
2012-03-09,894.22361632
2012-03-10,1147.65074009
2012-03-11,1085.73701239
2012-03-12,1738.01637808
2012-03-13,1054.85725691
2012-03-14,2975.81349336
2012-03-15,2643.05893423
2012-03-16,1619.95513181
2012-03-17,643.74020461
2012-03-18,952.5844023
2012-03-19,1663.17139541
2012-03-20,1659.83681583
2012-03-21,846.22804289
2012-03-22,1318.29346689
2012-03-23,919.40819872
2012-03-24,2524.92930653
2012-03-25,1850.44378789
2012-03-26,1791.17787205
2012-03-27,932.47237882
2012-03-28,3119.7339456
2012-03-29,1443.89726012
2012-03-30,2867.53008419
2012-03-31,2433.76173767
2012-04-01,4479.00661444
2012-04-02,1817.35543242
2012-04-03,2982.88357265
2012-04-04,2112.49555395
2012-04-05,2119.84704575
2012-04-06,13095.2055864
2012-04-07,1771.20343318
2012-04-08,3539.13715572
2012-04-09,1446.60632577
2012-04-10,2845.66615873
2012-04-11,2149.43561318
2012-04-12,3132.51374212
2012-04-13,10869.9044875
2012-04-14,4085.01537647
2012-04-15,3987.51407488
2012-04-16,2076.67337867
2012-04-17,2249.67744297
2012-04-18,4995.74712285
2012-04-19,5804.51732097
2012-04-20,4613.63261562
2012-04-21,3846.46352993
2012-04-22,6238.54650106
2012-04-23,7319.42960149
2012-04-24,1942.35131602
2012-04-25,4970.97665418
2012-04-26,3737.20363353
2012-04-27,3565.17548612
2012-04-28,2684.98368432
2012-04-29,2271.49313691
2012-04-30,272.88662095
