Date,Value
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-17,0.0
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,0.0
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-08,0.0
2011-10-09,0.0
2011-10-10,0.0
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,0.0
2011-10-17,0.0
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,0.0
2011-10-22,0.0
2011-10-23,0.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,0.0
2011-10-27,0.0
2011-10-28,0.0
2011-10-29,0.0
2011-10-30,0.0
2011-10-31,0.0
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-05,0.0
2011-11-06,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,0.0
2011-11-10,0.0
2011-11-11,0.0
2011-11-12,0.0
2011-11-13,0.0
2011-11-14,0.0
2011-11-15,0.0
2011-11-16,0.0
2011-11-17,0.0
2011-11-18,0.0
2011-11-19,0.0
2011-11-20,0.0
2011-11-21,0.0
2011-11-22,0.0
2011-11-23,0.0
2011-11-24,0.0
2011-11-25,0.0
2011-11-26,0.0
2011-11-27,0.0
2011-11-28,0.0
2011-11-29,0.0
2011-11-30,0.0
2011-12-01,0.0
2011-12-02,0.0
2011-12-03,0.0
2011-12-04,0.0
2011-12-05,0.0
2011-12-06,0.0
2011-12-07,0.0
2011-12-08,0.0
2011-12-09,0.0
2011-12-10,0.0
2011-12-11,0.0
2011-12-12,0.0
2011-12-13,0.0
2011-12-14,0.0
2011-12-15,0.0
2011-12-16,0.0
2011-12-17,0.0
2011-12-18,0.0
2011-12-19,0.0
2011-12-20,0.0
2011-12-21,0.0
2011-12-22,0.0
2011-12-23,0.0
2011-12-24,0.0
2011-12-25,0.0
2011-12-26,0.0
2011-12-27,0.0
2011-12-28,0.0
2011-12-29,0.0
2011-12-30,0.0
2011-12-31,0.0
2012-01-01,0.0
2012-01-02,0.0
2012-01-03,0.0
2012-01-04,0.0
2012-01-05,0.0
2012-01-06,0.0
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,0.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,0.0
2012-01-26,0.0
2012-01-27,0.0
2012-01-28,0.0
2012-01-29,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,0.0
2012-02-07,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,16.0
2012-02-14,43.0
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,0.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,4.0
2012-02-25,16.0
2012-02-26,11.0
2012-02-27,33.0
2012-02-28,23.0
2012-02-29,26.0
2012-03-01,29.0
2012-03-02,52.0
2012-03-03,31.0
2012-03-04,21.0
2012-03-05,28.0
2012-03-06,48.0
2012-03-07,45.0
2012-03-08,59.0
2012-03-09,46.0
2012-03-10,30.0
2012-03-11,41.0
2012-03-12,53.0
2012-03-13,42.0
2012-03-14,102.0
2012-03-15,57.0
2012-03-16,37.0
2012-03-17,44.0
2012-03-18,44.0
2012-03-19,35.0
2012-03-20,58.0
2012-03-21,56.0
2012-03-22,61.0
2012-03-23,47.0
2012-03-24,40.0
2012-03-25,46.0
2012-03-26,50.0
2012-03-27,28.0
2012-03-28,52.0
2012-03-29,55.0
2012-03-30,88.0
2012-03-31,59.0
2012-04-01,46.0
2012-04-02,69.0
2012-04-03,77.0
2012-04-04,83.0
2012-04-05,75.0
2012-04-06,108.0
2012-04-07,77.0
2012-04-08,107.0
2012-04-09,36.0
2012-04-10,78.0
2012-04-11,66.0
2012-04-12,71.0
2012-04-13,77.0
2012-04-14,66.0
2012-04-15,70.0
2012-04-16,50.0
2012-04-17,74.0
2012-04-18,122.0
2012-04-19,90.0
2012-04-20,86.0
2012-04-21,101.0
2012-04-22,109.0
2012-04-23,65.0
2012-04-24,123.0
2012-04-25,117.0
2012-04-26,130.0
2012-04-27,117.0
2012-04-28,222.0
2012-04-29,190.0
2012-04-30,45.0
2012-05-01,0.0
2012-05-02,29.0
2012-05-03,241.0
2012-05-04,486.0
2012-05-05,424.0
2012-05-06,272.0
2012-05-07,388.0
2012-05-08,599.0
2012-05-09,693.0
2012-05-10,277.0
2012-05-11,286.0
2012-05-12,212.0
2012-05-13,276.0
2012-05-14,374.0
2012-05-15,315.0
2012-05-16,245.0
2012-05-17,293.0
