Date,Value_df_api_siz,Value_df_bitcoin,Value_df_block_s,Value_df_diffcul,Value_df_hash_ra,Value_df_miners_,Value_df_mywalle,Value_df_trade_v,Value_df_trans_v,Value_df_wallet_
2011-09-13,389.0,6.25,0.0197273142198,1777774.4819999998,12.0188162424,42525.0,2.0,6.25,0.0,0.0
2011-09-14,391.0,5.9900000009,0.017507603293999998,1755425.32033,13.2639252302,45541.9700068,2.0,5.9900000009,0.0,0.0
2011-09-15,393.0,5.69,0.016134487616,1755425.32033,12.914874566300002,42123.07,2.0,5.69,0.0,0.0
2011-09-16,395.0,5.23,0.0209012334309,1755425.32033,10.9950959145,32985.61,2.0,5.23,0.0,0.0
2011-09-17,397.0,5.022,0.0192130019025,1755425.32033,10.7333079166,30910.41,2.0,5.022,0.0,0.0
2011-09-18,399.0,5.0,0.013485925640200002,1755425.32033,14.57286522,41770.0,2.0,5.0,0.0,0.0
2011-09-19,401.0,5.6,0.021929248434599997,1755425.32033,10.6460452506,34193.6,2.0,5.6,0.0,0.0
2011-09-20,404.0,6.795,0.0261218119011,1755425.32033,12.129510572400001,47266.02,2.0,6.795,0.0,0.0
2011-09-21,407.0,6.28664,0.0251949928902,1755425.32033,12.914874566300002,46552.5692,2.0,6.28664,0.0,0.0
2011-09-22,409.0,5.83001,0.0185518709819,1755425.32033,13.0893998982,43748.395039999996,2.0,5.83001,0.0,0.0
2011-09-23,411.0,5.70653,0.018423500345700002,1755425.32033,11.6931972424,38250.87059,2.0,5.70653,0.0,0.0
2011-09-24,413.0,5.66,0.0211437133051,1755425.32033,10.8205705825,35131.62,2.0,5.66,0.0,0.0
2011-09-25,415.0,5.5,0.017233633659299998,1755425.32033,12.3912985703,39066.5,2.0,5.5,0.0,0.0
2011-09-26,417.0,5.46014,0.018357228188599996,1755425.32033,11.9549852404,37418.33942,2.0,5.46014,0.0,0.0
2011-09-27,419.0,5.13018,0.0185160707025,1755425.32033,11.8677225744,34905.74472,2.0,5.13018,0.0,0.0
2011-09-28,421.0,4.989,0.016959928928499998,1755425.32033,11.605934576400001,33196.806000000004,2.0,4.989,0.0,0.0
2011-09-29,423.0,4.809,0.0165802329334,1689334.4046,11.2529540121,32234.727000000003,2.0,4.809,0.0,0.0
2011-09-30,425.0,5.35,0.018230577794500002,1689334.4046,10.3292040559,32918.55,2.0,5.35,0.0,0.0
2011-10-01,427.0,5.3,0.0169833197313,1689334.4046,11.4209085496,36055.9,2.0,5.3,0.0,0.0
2011-10-02,428.0,5.16,0.015027031643700001,1689334.4046,11.0010222059,33813.48,2.0,5.16,0.0,0.0
2011-10-03,430.0,5.07546,0.0185876919673,1689334.4046,10.9170449371,33036.16914,2.0,5.07546,0.0,0.0
2011-10-04,432.0,5.03,0.017509056971599997,1689334.4046,10.9170449371,32710.09,2.0,5.03,0.0,0.0
2011-10-05,434.0,5.025,0.018121642788,1689334.4046,11.5048858184,34436.325,2.0,5.025,0.0,0.0
2011-10-06,436.0,4.93,0.0191324563851,1689334.4046,11.1689767434,32814.08,2.0,4.93,0.0,0.0
2011-10-07,438.0,4.85,0.0177296176553,1689334.4046,10.7490903996,31064.25,2.0,4.85,0.0,0.0
2011-10-08,440.0,4.593999999999999,0.0174773164498,1689334.4046,10.8330676684,29645.082000000002,2.0,4.593999999999999,0.0,0.0
2011-10-09,442.0,4.388999999999999,0.018624173916499998,1689334.4046,10.3292040559,27005.517000000003,2.0,4.388999999999999,0.0,0.0
2011-10-10,444.0,4.25937,0.0184744010537,1689334.4046,9.90931771216,25143.06111,2.0,4.25937,0.0,0.0
2011-10-11,446.0,4.14001,0.023154798543700002,1689334.4046,8.9015904872,21958.61304,2.0,4.14001,0.0,0.0
2011-10-12,448.0,4.206119999999999,0.0226945476372,1689334.4046,9.993294980910001,25043.23848,2.0,4.206119999999999,0.0,0.0
2011-10-13,449.0,4.45,0.021570111368999997,1689334.4046,7.64193145599,20265.3,2.0,4.45,0.0,0.0
2011-10-14,451.0,4.11455,0.0182192881305,1689334.4046,11.1689767434,27374.10115,2.0,4.11455,0.0,0.0
2011-10-15,453.0,4.05,0.0165160835212,1468195.4272200002,10.2907990684,28564.65,2.0,4.05,0.0,0.0
2011-10-16,454.0,3.9009000001999996,0.0160635661304,1468195.4272200002,8.9770800384,23998.3368012,2.0,3.9009000001999996,0.0,0.0
2011-10-17,456.0,3.75996,0.0224191193032,1468195.4272200002,8.24723613284,21258.81384,2.0,3.75996,0.0,0.0
2011-10-18,458.0,2.9,0.018252973481400002,1468195.4272200002,9.26901760063,18423.7,2.0,2.9,0.0,0.0
2011-10-19,459.0,2.6499900000000003,0.0151152105042,1468195.4272200002,9.63393955341,17497.88397,2.0,2.6499900000000003,0.0,0.0
2011-10-20,460.0,2.42,0.0170411322881,1468195.4272200002,7.51739222728,12475.1,2.0,2.42,0.0,0.0
2011-10-21,461.0,2.72002,0.014434517293700001,1468195.4272200002,10.0718458967,18773.57804,2.0,2.72002,0.0,0.0
2011-10-22,462.0,3.3,0.0196935065249,1468195.4272200002,6.86053271228,15516.6,2.0,3.3,0.0,0.0
2011-10-23,464.0,3.36,0.0209809257871,1468195.4272200002,7.66336100839,17650.08,2.0,3.36,0.0,0.0
2011-10-24,466.0,3.2,0.0183330008654,1468195.4272200002,8.9770800384,19689.6,2.0,3.2,0.0,0.0
2011-10-25,468.0,3.04,0.0165644645691,1468195.4272200002,9.4879707723,19769.12,2.0,3.04,0.0,0.0
2011-10-26,470.0,2.8760000000000003,0.0193418362819,1468195.4272200002,7.955298570619999,15682.828000000001,2.0,2.8760000000000003,0.0,0.0
2011-10-27,471.0,3.0499,0.0163367893385,1468195.4272200002,8.39320491396,17543.0248,2.0,3.0499,0.0,0.0
2011-10-28,473.0,3.255,0.0208611768835,1468195.4272200002,7.44440783673,16610.265,2.0,3.255,0.0,0.0
2011-10-29,475.0,3.8271699999999997,0.0206972811402,1468195.4272200002,8.685142476180001,22783.14301,2.0,3.8271699999999997,0.0,0.0
2011-10-30,476.0,3.65026,0.0194365216285,1468195.4272200002,7.0794858839499994,17714.71178,2.0,3.65026,0.0,0.0
2011-10-31,477.0,3.388,0.014152443322,1468195.4272200002,9.99886150619,23214.576,2.0,3.388,0.0,0.0
2011-11-01,479.0,3.35,0.015093796873700003,1203461.9263799998,8.73436486,24471.75,2.0,3.35,0.0,0.0
2011-11-02,481.0,3.44,0.014441667013600001,1203461.9263799998,9.033486944249999,25982.32,2.0,3.44,0.0,0.0
2011-11-03,483.0,3.299,0.0166805222279,1203461.9263799998,7.59770093987,20955.248,2.0,3.299,0.0,0.0
2011-11-04,485.0,3.21874,0.0178765717086,1203461.9263799998,8.55489160946,23023.64722,2.0,3.21874,0.0,0.0
2011-11-05,487.0,3.21,0.0180711809794,1203461.9263799998,8.9736625274,24084.63,2.0,3.21,0.0,0.0
2011-11-06,488.0,3.05,0.0129022984891,1203461.9263799998,8.8540136937,22576.1,2.0,3.05,0.0,0.0
2011-11-07,490.0,3.0289,0.0165620323356,1203461.9263799998,7.836998607260001,19848.3817,2.0,3.0289,0.0,0.0
2011-11-08,492.0,3.21,0.017458209284999998,1203461.9263799998,8.07629627466,21677.13,2.0,3.21,0.0,0.0
2011-11-09,494.0,3.114,0.0165072728896,1203461.9263799998,10.1103264475,26322.642000000003,2.0,3.114,0.0,0.0
2011-11-10,496.0,3.0,0.0177213668823,1203461.9263799998,8.67454044315,21759.0,2.0,3.0,0.0,0.0
2011-11-11,498.0,3.0,0.018130474403299998,1203461.9263799998,7.298578855619999,18306.0,2.0,3.0,0.0,0.0
2011-11-12,500.0,3.11,0.016855077390299997,1203461.9263799998,8.07629627466,20998.72,2.0,3.11,0.0,0.0
2011-11-13,501.0,3.0989999999999998,0.0130159935984,1203461.9263799998,8.79418927685,22783.847999999998,2.0,3.0989999999999998,0.0,0.0
2011-11-14,503.0,3.03,0.017372103298400002,1203461.9263799998,8.13612069151,20610.06,2.0,3.03,0.0,0.0
2011-11-15,505.0,2.69,0.016039065542899997,1192497.75009,10.2553335513,23276.57,2.0,2.69,0.0,0.0
2011-11-16,507.0,2.6,0.017596818450700002,1192497.75009,7.8841581637300004,17297.8,2.0,2.6,0.0,0.0
2011-11-17,509.0,2.60031,0.016619478423,1192497.75009,8.59551078,18857.448119999997,2.0,2.60031,0.0,0.0
2011-11-18,510.0,2.38998,0.015180886246799998,1192497.75009,7.76559939435,15661.53894,2.0,2.38998,0.0,0.0
2011-11-19,512.0,2.3,0.015967272972899998,1192497.75009,7.64704062497,14841.9,2.0,2.3,0.0,0.0
2011-11-20,514.0,2.499,0.017051517963399997,1192497.75009,7.58776124028,16003.596000000001,2.0,2.499,0.0,0.0
2011-11-21,515.0,2.29,0.014466031392399999,1192497.75009,8.002716933110001,15462.08,2.0,2.29,0.0,0.0
2011-11-22,517.0,2.35,0.0164065184417,1192497.75009,8.002716933110001,15869.55,2.0,2.35,0.0,0.0
2011-11-23,519.0,2.38,0.0165992547538,1192497.75009,7.76559939435,15596.14,2.0,2.38,0.0,0.0
2011-11-24,521.0,2.46,0.0185917956488,1192497.75009,6.639291085240001,13783.38,2.0,2.46,0.0,0.0
2011-11-25,523.0,2.56,0.0163959723253,1192497.75009,7.706320009660001,16647.68,2.0,2.56,0.0,0.0
2011-11-26,525.0,2.53125,0.0168821079524,1192497.75009,7.528481855589999,16081.03125,2.0,2.53125,0.0,0.0
2011-11-27,526.0,2.4965,0.0165078932779,1192497.75009,6.75784985462,14235.043,2.0,2.4965,0.0,0.0
2011-11-28,528.0,2.53899,0.0193929210786,1192497.75009,7.350643701519999,15749.354969999999,2.0,2.53899,0.0,0.0
2011-11-29,530.0,2.9810000000000003,0.0207359670735,1192497.75009,8.239834471860002,20729.874,2.0,2.9810000000000003,0.0,0.0
2011-11-30,532.0,2.9589999999999996,0.0181795211687,1090715.68005,7.916086499510001,21609.577,8.0,2.9589999999999996,0.0,0.0
2011-12-01,535.0,3.14,0.017739584639299998,1090715.68005,10.0306575508,29057.56,13.0,3.14,0.0,0.0
